signe,participant_ID,âge,sexe,Natif,AoA,utilisation_LSF,surdité,note_freq,note_concret,note_iconic
intéressant,A12,25,M,1,0,3,1,5,4,5
intéressant,A13,22,F,0,6,2,1,5,1,1
intéressant,A14,69,F,0,24,3,0,4,2,2
intéressant,A15,34,M,1,0,5,1,4,1,1
intéressant,A16,25,F,0,16,4,1,5,5,5
verglas,A1,27,F,1,0,5,1,1,1,1
verglas,A2,26,F,0,16,3,0,4,3,3
verglas,A3,26,M,1,0,5,1,1,1,1
verglas,A4,41,F,0,9,5,1,1,1,1
verglas,A5,27,M,1,0,5,1,1,1,1
verglas,A6,47,M,0,12,5,1,1,1,1
verglas,A7,52,M,0,16,5,1,3,1,2
verglas,A8,22,F,0,11,4,1,1,2,2
verglas,A9,28,M,1,0,5,1,1,1,1
verglas,A10,36,M,1,0,5,1,1,2,3
verglas,A11,33,M,1,0,5,1,1,2,2
verglas,A12,25,M,1,0,3,1,2,2,2
verglas,A13,22,F,0,6,2,1,1,1,1
verglas,A14,69,F,0,24,3,0,2,3,4
verglas,A15,34,M,1,0,5,1,3,5,4
verglas,A16,25,F,0,16,4,1,1,1,1
remplacer,A1,27,F,1,0,5,1,5,1,1
remplacer,A2,26,F,0,16,3,0,4,3,5
remplacer,A3,26,M,1,0,5,1,5,1,3
remplacer,A4,41,F,0,9,5,1,5,5,3
remplacer,A5,27,M,1,0,5,1,4,5,5
remplacer,A6,47,M,0,12,5,1,3,4,3
remplacer,A7,52,M,0,16,5,1,4,1,1
remplacer,A8,22,F,0,11,4,1,1,5,4
remplacer,A9,28,M,1,0,5,1,4,4,3
remplacer,A10,36,M,1,0,5,1,4,3,2
remplacer,A11,33,M,1,0,5,1,4,4,2
remplacer,A12,25,M,1,0,3,1,5,5,4
remplacer,A13,22,F,0,6,2,1,4,2,3
remplacer,A14,69,F,0,24,3,0,5,4,3
remplacer,A15,34,M,1,0,5,1,5,4,1
remplacer,A16,25,F,0,16,4,1,4,4,4
hier,A1,27,F,1,0,5,1,5,1,1
hier,A2,26,F,0,16,3,0,5,5,5
hier,A3,26,M,1,0,5,1,5,1,4
hier,A4,41,F,0,9,5,1,5,5,4
hier,A5,27,M,1,0,5,1,5,5,4
hier,A6,47,M,0,12,5,1,5,5,5
hier,A7,52,M,0,16,5,1,5,1,2
hier,A8,22,F,0,11,4,1,2,5,3
hier,A9,28,M,1,0,5,1,4,4,2
hier,A10,36,M,1,0,5,1,5,3,1
hier,A11,33,M,1,0,5,1,5,3,4
hier,A12,25,M,1,0,3,1,5,5,5
hier,A13,22,F,0,6,2,1,5,2,4
hier,A14,69,F,0,24,3,0,5,1,1
hier,A15,34,M,1,0,5,1,5,3,3
hier,A16,25,F,0,16,4,1,5,5,5
rêver,A1,27,F,1,0,5,1,5,1,1
rêver,A2,26,F,0,16,3,0,5,4,1
rêver,A3,26,M,1,0,5,1,5,1,4
rêver,A4,41,F,0,9,5,1,5,5,4
rêver,A5,27,M,1,0,5,1,4,5,5
